2015-2019,2020-2022,2023-2025,2025-all
0.7415254237288137,0.12578616352201255,0.16501650165016507,0.7415254237288137
0.2698327037236914,0.19209220425804385,0.1271860095389508,0.2698327037236914
0.4310344827586208,0.3454423891241365,0.1108931160965623,0.4310344827586208
0.10666666666666676,0.06922810661128398,0.07641087217552675,0.10666666666666676
0.15136226034308778,0.06517016654598123,0.07542189120392201,0.15136226034308778
0.19305019305019297,0.04496739863598895,0.18027040560841262,0.19305019305019297
0.18930430667297699,0.1255591305030212,0.059105536218559115,0.18930430667297699
0.27359781121751026,0.13642564802182822,0.09572431397574985,0.27359781121751026
0.41462495288352813,0.05784944681466489,0.03280167288531709,0.41462495288352813
0.17878426698450536,0.08883361463977968,0.16856846473029044,0.17878426698450536
0.11080332409972309,0.06993006993006999,0.03291639236339688,0.11080332409972309
0.2806122448979593,0.14200877872450282,0.04067796610169488,0.2806122448979593
0.24783147459727387,0.21505376344086038,0.026198585276395098,0.24783147459727387
0.07416563658838078,0.14255167498218108,0.10943912448700406,0.07416563658838078
0.1718634912840657,0.16295491580662683,0.3691983122362869,0.1718634912840657
0.2477547228244037,1.1111111111111112,0.105115627189909,0.2477547228244037
0.4088050314465409,0.22822365918600207,0.15508684863523586,0.4088050314465409
0.2229654403567448,1.0053619302949064,0.03226847370119396,0.2229654403567448
0.08539709649871911,0.8954269267668692,0.06682258603407959,0.08539709649871911
0.11655011655011666,0.36832412523020264,0.0,0.11655011655011666
0.04725897920604919,0.025354969574036258,0.22083179977916756,0.12578616352201255
0.14177693761814744,0.20582181711261383,0.291788245102126,0.19209220425804385
0.10101010101010081,0.16705646508519895,0.7910074937552037,0.3454423891241365
0.09350163627863496,0.1420959147424513,0.039277297721916765,0.06922810661128398
0.19646365422396872,0.15525539512498057,0.8867868755542417,0.06517016654598123
0.0,0.3440648808060949,0.872154860667943,0.04496739863598895
0.08880994671403206,0.6875000000000002,0.20785219399538105,0.1255591305030212
0.34379028792436594,0.17316017316017332,0.18027762754642151,0.13642564802182822
0.07945967421533573,0.11446012972148034,0.13479359730412807,0.05784944681466489
0.27375831052014077,0.016937669376693783,0.050000000000000044,0.08883361463977968
0.09694619486185177,0.27208036835496024,0.0,0.06993006993006999
0.09000900090009009,0.5955334987593053,0.08159934720522243,0.14200877872450282
0.08166598611678239,0.06685981724983285,0.277172837061968,0.16501650165016507
0.0,1.1510791366906474,0.024313153415998077,0.1271860095389508
